Model,Simple Random,Systematic,Stratified,Cross-Validation,Bootstrap,Best Sampling Technique,Best Sampling and Model
M1,0.8260869565217391,0.782608695652174,0.9130434782608695,0.8989071038251366,0.782608695652174,Stratified,Stratified (M1)
M2,0.9782608695652174,0.9782608695652174,0.9565217391304348,0.994535519125683,0.9347826086956522,Cross-Validation,Cross-Validation (M2)
M3,0.6304347826086957,0.6956521739130435,0.6086956521739131,0.6939890710382514,0.4782608695652174,Systematic,Systematic (M3)
M4,0.717391304347826,0.6739130434782609,0.6086956521739131,0.8306010928961749,0.6086956521739131,Cross-Validation,Cross-Validation (M4)
M5,0.8043478260869565,0.8260869565217391,0.8913043478260869,0.9726775956284153,0.9130434782608695,Cross-Validation,Cross-Validation (M5)
